Constituency Number,Constituency Name,District,Member Name,Party,Latitude,Longitude
97,Gangakhed,PARBHANI,Gutte Ratnakar Manikrao,RSP,19.0085278706035,76.91888844159021
98,Pathri,PARBHANI,Rajesh Uttamrao Vitekar,NCP,19.14856876065944,76.48706154893198
99,Partur,JALNA,Babanrao Dattatray Yadav (Lonikar),BJP,19.765546062797405,76.35520968793529
100,Ghansawangi,JALNA,Udhan Hikmat Baliram,SHS,19.54133969307807,75.91753037221241
101,Jalna,JALNA,Arjun Panditrao Khotkar,SHS,19.853800789602943,76.01725691936184
102,Badnapur,JALNA,Kuche Narayan Tilakchand,BJP,19.934275833831464,75.70385080215117
103,Bhokardan,JALNA,Danve Santosh Raosaheb,BJP,20.34354488255346,75.90982338017908
104,Sillod,AURANGABAD,Abdul Sattar,SHS,20.500185217123185,75.62943584316642
105,Kannad,AURANGABAD,Ranjanatai (Sanjana) Harshvardhan Jadhav,SHS,20.31594804907596,75.17361664659654
106,Phulambri,AURANGABAD,Anuradha Atul Chavan,BJP,20.010981963035682,75.54993580967331
107,Aurangabad Central,AURANGABAD,Jaiswal Pradeep Shivnarayan,SHS,19.916127272291703,75.3402670428473
108,Aurangabad West,AURANGABAD,Sanjay Pandurang Shirsat,SHS,19.86286082683814,75.3020387570429
109,Aurangabad East,AURANGABAD,Atul Moreshwar Save,BJP,19.880532412403554,75.3728020092106
110,Paithan,AURANGABAD,Bhumre Vilas Sandipanrao,SHS,19.50452625456152,75.38178806664038
111,Gangapur,AURANGABAD,Bumb Prashant Bansilal,BJP,19.80630364624714,75.1485546781369
112,Vaijapur,AURANGABAD,Bornare (Sir) Ramesh Nanasaheb,SHS,19.961332594143325,74.77101238681706
113,Nandgaon,NASHIK,Suhas (Aanna) Dwarkanath Kande,SHS,20.37062988503578,74.75562484345582
114,Malegaon Central,NASHIK,Mufti Mohammad Ismail Abdul Khalique,AIMIM,20.55091061865794,74.54907431994742
115,Malegaon Outer,NASHIK,Dadaji Dagdu Bhuse,SHS,20.689175425424043,74.57888633114595
116,Baglan,NASHIK,Dilip Manglu Borse,BJP,20.77111013849436,74.13217652746417
117,Kalwan,NASHIK,Nitinbhau Arjun (A.T.) Pawar,NCP,20.551939944902028,73.60491069004001
118,Chandvad,NASHIK,Dr.Aher Rahul Daulatrao,BJP,20.35871158410233,74.20830484354919
119,Yevla,NASHIK,Chhagan Bhujbal,NCP,20.034790243805908,74.4814674171434
120,Sinnar,NASHIK,Adv. Kokate Manikrao Shivaji,NCP,19.75642289569349,74.07048151168374
121,Niphad,NASHIK,Bankar Diliprao Shankarrao,NCP,20.07456350436244,74.0771788641343
122,Dindori,NASHIK,Narahari Sitaram Zirwal,NCP,20.26783133400295,73.53222552134181
123,Nashik East,NASHIK,Adv.Rahul Uttamrao Dhikale,BJP,20.02480172600003,73.83803288663643
124,Nashik Central,NASHIK,Devyani Suhas Pharande,BJP,19.995212265859692,73.78705210401762
125,Nashik West,NASHIK,Hiray Seema Mahesh,BJP,19.990440801402354,73.73125517088515
126,Deolali,NASHIK,Ahire Saroj Babulal,NCP,19.991120834196764,73.74316995558789
127,Igatpuri,NASHIK,Khoskar Hiraman Bhika,NCP,19.948938517573765,73.45136083783501
128,Dahanu,THANE,Vinod Bhiva Nikole,CPI(M),20.0629134914202,72.8397353268455
129,Vikramgad,THANE,Bhoye Harishchandra Sakharam,BJP,19.93973271828572,73.26191347148271
130,Palghar,THANE,Gavit Rajendra Dhedya,SHS,19.823262958374457,72.73268020036254
131,Boisar,THANE,Vilas Sukur Tare,SHS,19.593568007352403,72.79673397285076
132,Nalasopara,THANE,Rajan Balkrishna Naik,BJP,19.469131601049064,72.88541965890204
133,Vasai,THANE,Sneha Dube Pandit,BJP,19.404037477912272,72.78179485161984
134,Bhiwandi Rural,THANE,Shantaram Tukaram More,SHS,19.481562785646016,73.11144562498319
135,Shahapur,THANE,Daulat Bhika Daroda,NCP,19.543900864700184,73.48739400507124
136,Bhiwandi West,THANE,Choughule Mahesh Prabhakar,BJP,19.3521262380127,73.06980323108868
137,Bhiwandi East,THANE,Rais Kasam Shaikh,SP,19.356204601646507,73.11464181236371
138,Kalyan West,THANE,Vishwanath Atmaram Bhoir,SHS,19.286335364595296,73.1820892358691
139,Murbad,THANE,Kisan Shankar Kathore,BJP,19.237932281127538,73.53833379379643
140,Ambernath,THANE,Dr. Balaji Pralhad Kinikar,SHS,19.21429744673534,73.19907778747064
141,Ulhasnagar,THANE,Ailani Kumar Uttamchand,BJP,19.25020772185004,73.19359927315006
142,Kalyan East,THANE,Sulbha Ganpat Gaikwad,BJP,19.1311494089751,73.14875298133248
143,Dombivali,THANE,Chavan Ravindra Dattatray,BJP,19.235155084750048,73.08332336095005
144,Kalyan Rural,THANE,Rajesh Govardhan More,SHS,19.130595176181544,73.0837335768768
145,Mira Bhayandar,THANE,Narendra Mehta,BJP,19.272028754722978,72.81975646601275
146,Ovala - Majiwada,THANE,Pratap Baburao Sarnaik,SHS,19.263547243761405,72.9168029799887
147,Kopri - Pachpakhadi,THANE,Eknath Sambhaji Shinde,SHS,19.190833955932803,72.95427889547487
148,Thane,THANE,Sanjay Mukund Kelkar,BJP,19.252799473272773,72.9738635535758
149,Mumbra - Kalwa,THANE,Awhad Jitendra Satish,NCP(SP),19.20142509951287,72.99466489858979
